;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
5707; CERISE rouge Sud-Est cat.I +22mm barq. (le kg) ; 5.20;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5708; CERISE rouge Sud-Est cat.I +24mm barq. (le kg) ; 5.32;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5709; CERISE rouge Sud-Est cat.I +24mm plateau (le kg) ; 3.17;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.97
5710; CERISE rouge Sud-Est cat.I +26mm plateau (le kg) ; 4.12;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.28
5711; CERISE rouge Sud-Est cat.I +28mm plateau (le kg) ; 5.46;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.00
5712; CERISE rouge Sud-Est cat.I +30mm plateau (le kg) ; 6.32;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.88
5713; CERISE Burlat Sud-Ouest cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.17
5714; CERISE Burlat Sud-Ouest cat.I +26mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.00
5715; CERISE rouge Sud-Ouest cat.I +22mm barq.500g (le kg) ; 3.99;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5716; CERISE rouge Sud-Ouest cat.I +24mm plateau (le kg) ; 2.92;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.30
5717; CERISE rouge Sud-Ouest cat.I +26mm plateau (le kg) ; 3.86;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.17
5718; CERISE rouge Sud-Ouest cat.I +28mm plateau (le kg) ; 4.71;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.88
5719; CERISE rouge France biologique (le kg) ; 7.17; 6.80;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.89
5720; CERISE Espagne biologique (le kg) ; 7.90;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.25
5721; CERISE rouge Espagne cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.33
5722; CERISE rouge Espagne cat.I +26mm plateau (le kg) ; 3.65;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.71
5723; CERISE rouge Espagne cat.I +28mm plateau (le kg) ; 4.38;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.80
5724; CERISE rouge France biologique (le kg) ; 8.16; 6.96;  ;  ;  ;  ;  ;  ;  ;  ;  ; 11.21
5725; CERISE rouge U.E. biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.40
5726; CERISE rouge Espagne cat.I +24mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.50
5727; CERISE rouge Espagne cat.I +26mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.00
5728; CERISE rouge Espagne cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.25
5729; CERISE rouge Italie cat.I +26mm (le kg) ; 5.00; 4.00;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.67
5730; CERISE rouge Espagne cat.I +24mm plateau (le kg) ; 2.28;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.10
5731; CERISE rouge Espagne cat.I +26mm plateau (le kg) ; 2.93;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4.10
5732; CERISE rouge Espagne cat.I +28mm plateau (le kg) ; 3.42;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.29
5733; CERISE rouge France cat.I +22mm plateau (le kg) ; 2.22;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5734; CERISE rouge France cat.I +24mm plateau (le kg) ; 2.53; 2.50;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.44
5735; CERISE rouge France cat.I +26mm plateau (le kg) ; 3.38; 3.50;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.65
5736; CERISE rouge France cat.I +28mm plateau (le kg) ; 3.53; 4.07;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
