;Produit;Prix moyen;Variation;Prix min;Prix max
2164; POMME bicolore France cat.I 170/220g plateau ;1.73; =; 1.60; 1.85
2165; POMME Boskoop rouge France cat.I 170/220g plateau 1rg ;1.85; =;  ;  
2166; POMME Gala France cat.I 170/220g plateau 1rg ;1.58; =; 1.35; 1.70
2167; POMME Golden France cat.I 136/200g caisse ;1.50; =;  ;  
2168; POMME Golden France cat.I 150/180g plateau 2rg ;1.54; =; 1.20; 1.75
2169; POMME Granny smith France cat.I 170/220g plateau 2rg ;1.70; =; 1.45; 1.85
2170; POMME bicolore France biologique ;2.28; +0.12; 2.12; 2.56
2171; POMME Gala France biologique ;2.11; -0.19;  ;  
2172; POMME Chantecler France 201/270g plateau 1rg ;2.00; =; 1.90; 2.20
2173; POMME Fuji France cat.I 201/270g plateau 1rg ;1.65; +0.15; 1.50; 1.80
2174; POMME Gala France cat.I 201/270g plateau 1rg ;1.60; +0.10; 1.50; 1.65
2175; POMME Golden France cat.I 201/270g plateau 1rg ;1.65; +0.15; 1.50; 1.70
2176; POMME Granny smith France cat.I 201/270g plateau 1rg ;1.50; =; 1.50; 1.60
2177; POMME Boskoop rouge Allemagne cat.I 70-80mm ;1.30; =; 1.20; 1.40
2178; POMME Braeburn Allemagne cat.I 70-80mm ;1.05; =; 0.90; 1.20
2179; POMME Elstar Allemagne cat.I 65-70mm caisse ;1.05; =; 0.90; 1.20
2180; POMME Elstar Allemagne cat.I 70-80mm caisse ;1.05; =; 0.90; 1.20
2181; POMME Fuji Allemagne cat.I 70-80mm ;1.15; =; 1.00; 1.30
2182; POMME Gala Allemagne cat.I 65-70mm ;1.10; =; 1.00; 1.20
2183; POMME Gala Allemagne cat.I 70-80mm ;1.20; =; 1.10; 1.30
2184; POMME Gala Italie cat.I 70-80mm caisse ;1.20; =; 1.10; 1.30
2185; POMME Golden Allemagne cat.I 70-80mm ;0.90; =; 0.80; 1.00
2186; POMME Golden Italie cat.I 70-75mm plateau ;1.10; =; 1.00; 1.20
2187; POMME Granny smith France cat.I 70-75mm plateau ;1.25; =; 1.20; 1.30
2188; POMME Granny smith Italie cat.I 70-75mm plateau ;1.20; =; 1.10; 1.30
2189; POMME Jonagold Allemagne cat.I 70-80mm caisse ;0.95; =; 0.80; 1.10
2190; POMME Jonagored Allemagne cat.I 70-80mm ;1.00; =; 0.90; 1.10
2191; POMME Pink-lady France cat.I 70-75mm plateau ;2.10; =; 2.00; 2.20
2192; POMME Pink-lady Italie cat.I 70-75mm plateau ;2.05; =; 1.90; 2.20
2193; POMME Rouge americaine Italie cat.I 70-80mm caisse ;1.20; =; 1.10; 1.30
2194; POMME Rubinette Allemagne cat.I 70-80mm ;1.20; =; 1.10; 1.30
2195; POMME Golden Italie cat.I 190/240g plateau 1rg ;0.70; =;  ;  
2196; POMME Granny smith Italie cat.I 201/270g plateau 1rg ;0.80; =;  ;  
2197; POMME Boskoop rouge Allemagne cat.I 70-80mm caisse ;1.25; -0.05; 1.20; 1.30
2198; POMME Braeburn Allemagne cat.I 70-80mm caisse ;1.20; +0.05; 1.10; 1.30
2199; POMME Elstar Allemagne cat.I 70-80mm caisse ;1.05; -0.05; 1.00; 1.10
2200; POMME Fuji Allemagne cat.I 70-80mm caisse ;1.10; =; 1.00; 1.20
2201; POMME Gala Allemagne cat.I 70-80mm caisse ;1.15; +0.05; 1.10; 1.20
2202; POMME Gala Italie cat.I 70-80mm caisse ;1.00; =; 0.90; 1.10
2203; POMME Golden Allemagne cat.I 70-80mm caisse ;0.95; -0.05; 0.90; 1.00
2204; POMME Golden Italie cat.I 70-75mm plateau ;1.10; -0.05; 1.00; 1.20
2205; POMME Granny smith France cat.I 70-75mm plateau ;1.30; -0.10; 1.20; 1.40
2206; POMME Granny smith Italie cat.I 70-75mm plateau ;1.20; -0.05; 1.10; 1.30
2207; POMME Jonagold Allemagne cat.I 70-80mm caisse ;1.05; +0.05; 1.00; 1.10
2208; POMME Jonagored Allemagne cat.I 70-80mm caisse ;1.05; =; 1.00; 1.10
2209; POMME Pink-lady France cat.I 70-75mm plateau ;2.10; -0.05; 2.00; 2.20
2210; POMME Pink-lady Italie cat.I 70-75mm plateau ;1.90; -0.05; 1.80; 2.00
2211; POMME autres variétés France biologique ;3.26; +0.10; 2.16; 5.90
2212; POMME Bicolore France biologique ;3.22; -0.06; 2.10; 4.20
2213; POMME Golden France biologique ;3.63; +0.07; 2.85; 4.25
2214; POMME Bicolore France biologique ;3.18; -0.06; 2.50; 3.99
2215; POMME Bicolore France biologique cdt 4 (le cdt 4) ;2.81; -0.01; 2.29; 3.49
2216; POMME Bicolore France biologique cdt 6 (le cdt 6) ;3.03; -0.10; 2.49; 3.59
2217; POMME Bicolore France sachet ;1.42; -0.03; 1.30; 1.75
2218; POMME Gala France 136/180g vrac ;2.38; -0.01;  ;  
2219; POMME Gala France +170g vrac ;2.42; +0.23; 1.99; 2.99
2220; POMME Golden France 136/180g vrac ;2.25; +0.09;  ;  
2221; POMME Golden France +170g vrac ;2.37; +0.05; 1.99; 2.99
2222; POMME Golden France biologique ;3.55; +0.07; 2.79; 3.99
2223; POMME Golden France biologique cdt 4 (le cdt 4) ;2.92; =; 2.29; 3.49
2224; POMME Golden France biologique cdt 6 (le cdt 6) ;3.12; -0.07; 2.49; 3.80
2225; POMME Golden France sachet ;1.54; =; 1.30; 1.99
2226; POMME Granny smith France 136/180g vrac ;2.46;  ;  ;  
2227; POMME Granny smith France +170g vrac ;2.48; -0.05; 1.99; 2.99
2228; POMME Reinette grise du Canada France +170g vrac ;2.93; +0.04; 2.49; 3.49
2229; CHOUCHOU ;1.40; =;  ;  
2230; MÉLANGE SALADES mélange France ;5.50; =; 5.00; 6.00
2231; HARICOT à écosser Coco rouge Sud-Est plateau ;4.50; =; 4.50; 5.00
2232; BETTE Rhône-Alpes ;1.70; =;  ;  
2233; BETTE Sud-Ouest botte (les 12 bottes) ;16.00; -1.00; 15.00; 16.00
2234; BETTE Roussillon botte (la botte) ;1.10; =;  ;  
2235; BETTE Sud-Est ;1.20; =; 1.00; 1.50
2236; BETTE Méditerranée biologique plateau ;1.71; -0.16; 1.60; 1.80
2237; BETTE France biologique vrac ;1.71; -0.30; 1.60; 1.80
2238; BETTE Espagne biologique ;1.25; =;  ;  
2239; BETTE France biologique vrac ;2.42; +0.02; 1.60; 3.28
2240; BETTE France plateau ;1.70; =;  ;  
2241; BETTE Italie pied entier ;1.10; =; 0.90; 1.20
2242; BETTE France pied entier plateau ;1.65; =; 1.50; 1.80
2243; BETTE Italie pied entier plateau ;1.35; =; 1.20; 1.59
2244; BETTE France plateau (la botte) ;1.80; =; 1.50; 2.00
2245; BETTE Italie plateau ;1.40; -0.10; 1.20; 1.50
2246; BETTE France plateau ;1.70; =; 1.50; 1.90
2247; BETTE France biologique vrac ;2.23; +0.06; 1.85; 2.45
2248; BETTE U.E. pied entier moyenne botte ;1.25; +0.05;  ;  
2249; BETTE Italie ;1.50; =; 1.30; 1.60
2250; BETTE France biologique vrac ;2.42; +0.03; 2.30; 2.60
2251; BETTE France plateau ;2.15; =;  ;  
2252; BETTE France biologique ;2.52; -0.21;  ;  
2253; BETTE France biologique vrac ;3.95; +0.12; 3.20; 5.10
2254; ÉPINARD Rhône-Alpes ;2.20; -0.10;  ;  
2255; ÉPINARD Sud-Ouest cat.I ;2.00; =; 1.60; 2.00
2256; ÉPINARD Sud-Est ;1.90; =; 1.60; 2.00
2257; ÉPINARD Roussillon feuille ;2.20; =;  ;  
2258; ÉPINARD Sud-Est feuille ;1.80; =; 1.50; 2.00
2259; ÉPINARD Rhône-Alpes cat.I ;2.20; =;  ;  
2260; ÉPINARD Méditerranée feuille biologique ;2.71; -0.07; 2.40; 3.43
2261; ÉPINARD Sud-Est colis 5kg ;1.70; =; 1.20; 2.20
2262; ÉPINARD France feuille biologique ;2.91; -0.38; 2.40; 3.43
2263; ÉPINARD Belgique cat.I ;1.06; -0.05;  ;  
2264; ÉPINARD France feuille biologique ;3.57; -0.18; 2.86; 4.80
2265; ÉPINARD France cat.I ;1.90; =; 1.70; 2.00
2266; ÉPINARD France feuille cat.I ;2.10; -0.20; 1.80; 2.40
2267; ÉPINARD France cat.I ;1.50; +0.15; 1.30; 1.60
2268; ÉPINARD France cat.I ;2.20; -0.30; 2.00; 2.50
2269; ÉPINARD France cat.I ;2.20; =; 1.95; 2.40
2270; ÉPINARD France feuille biologique ;3.48; -0.37; 2.86; 4.35
2271; ÉPINARD France feuille cat.I caisse ;2.80; =;  ;  
2272; ÉPINARD France cat.I ;2.00; =; 1.90; 2.20
2273; ÉPINARD pousse France cat.I ;5.50; =; 5.00; 6.00
2274; ÉPINARD France feuille biologique ;3.53; -0.14; 3.20; 4.00
2275; ÉPINARD France cat.I ;2.64; =; 2.30; 3.05
2276; ÉPINARD France feuille biologique ;3.68; +0.08; 3.60; 3.75
2277; ÉPINARD France cat.I ;2.10; =; 2.00; 2.40
2278; ÉPINARD Italie cat.I ;1.70; =;  ;  
2279; ÉPINARD France feuille biologique ;5.79; -0.13; 4.15; 8.50
2280; PAPAYE Espagne biologique ;3.60; +0.05;  ;  
2281; PAPAYE Brésil avion ;4.00; =; 4.00; 4.20
2282; PAPAYE Brésil avion ;3.80; =; 3.50; 4.50
2283; TOMATE anciennes Roussillon ;2.20; =; 2.20; 2.30
2284; TOMATE cocktail Roussillon ;4.30; =; 4.00; 4.30
2285; TOMATE coeur de boeuf Roussillon ;3.00; =; 2.80; 3.00
2286; TOMATE côtelée Noire de Crimée Roussillon ;3.00; =; 2.80; 3.00
2287; TOMATE ronde Roussillon 57-67mm colis 6kg ;0.90; =; 0.90; 1.00
2288; TOMATE ronde Roussillon 67-82mm colis 6kg ;1.10; =; 1.00; 1.10
2289; TOMATE ronde Roussillon 82-102mm colis 6kg ;1.20; =; 1.20; 1.30
2290; TOMATE ronde Roussillon grappe colis 10kg ;1.50; =; 1.40; 2.00
2291; TOMATE allongée coeur Sud-Est cat.I 82-102mm ;3.40;  ;  ;  
2292; TOMATE côtelée jaune Sud-Est cat.I 82-102mm ;4.00;  ;  ;  
2293; TOMATE côtelée noire Méditerranée cat.I plateau 1rg ;4.00;  ;  ;  
2294; TOMATE côtelée rouge Sud-Est cat.I 82-102mm ;3.60;  ;  ;  
2295; TOMATE ronde Sud-Est 67-82mm ;2.20;  ;  ;  
2296; TOMATE ronde Sud-Est grappe ;2.40;  ;  ;  
2297; TOMATE cerise allongée Bretagne extra barq.250g ;6.20; +0.28; 5.60; 6.60
2298; TOMATE cerise Bretagne extra barq.250g ;6.08; +0.32; 5.60; 6.40
2299; TOMATE cocktail Bretagne cat.I barq.500g ;5.08; -0.15; 3.80; 6.48
2300; TOMATE côtelée rouge Bretagne cat.I 82-102mm plateau 1rg ;2.67; -0.03; 2.60; 2.88
2301; TOMATE mélange variétés colorées Bretagne cat.II colis 3,5kg ;3.20; =; 2.98; 3.56
2302; TOMATE ronde Bretagne extra 57-67mm colis 6kg ;1.97; +0.19;  ;  
2303; TOMATE ronde Bretagne grappe extra colis 10kg ;2.23; +0.15; 2.05; 2.40
2304; TOMATE ronde Pays de la Loire grappe extra colis 10kg ;2.30; +0.15; 2.00; 2.40
2305; TOMATE allongée coeur Sud-Est cat.I plateau 1rg ;3.45; =; 2.80; 4.00
2306; TOMATE côtelée jaune Sud-Est cat.I 82-102mm plateau 1rg ;3.80; =; 3.50; 4.20
2307; TOMATE côtelée noire Sud-Est extra plateau 1rg ;3.75; =; 3.50; 4.00
2308; TOMATE côtelée rouge Sud-Est extra 82-102mm plateau 1rg ;3.40; =; 2.90; 3.80
2309; TOMATE ronde Sud-Est grappe extra ;2.20; =; 2.00; 2.50
2310; TOMATE ronde zébrée Sud-Est cat.I 57-67mm ;3.70; =; 3.60; 4.00
2311; TOMATE cerise Sud-Ouest cat.I barq.250g ;4.90; +0.10;  ;  
2312; TOMATE ronde Sud-Ouest grappe extra ;2.20; +0.10;  ;  
2313; TOMATE ronde Belgique extra 57-67mm colis 6kg ;1.76; +0.01;  ;  
2314; TOMATE ronde Belgique extra 67-82mm colis 6kg ;1.54; -0.11;  ;  
2315; TOMATE ronde Belgique extra 82-102mm colis 6kg ;1.56; +0.03;  ;  
2316; TOMATE ronde Belgique extra 82-102mm plateau 1rg ;1.69; +0.16;  ;  
2317; TOMATE ronde Belgique grappe cat.I colis 5kg ;1.92;  ;  ;  
2318; TOMATE allongée Espagne biologique cat.I ;2.60;  ;  ;  
2319; TOMATE cerise Espagne biologique barq.250g ;5.05; +2.20; 4.20; 5.80
2320; TOMATE cerise Espagne grappe vrac ;3.55; -0.45; 3.00; 4.00
2321; TOMATE côtelée Espagne biologique ;2.85;  ;  ;  
2322; TOMATE ronde Espagne biologique cat.I ;1.90; -0.35; 1.80; 2.05
2323; TOMATE ronde Espagne grappe biologique cat.I ;2.80; +0.20; 2.30; 3.20
2324; TOMATE allongée Espagne cat.I 57-67mm colis 6kg ;1.40; =;  ;  
2325; TOMATE cerise Espagne cat.I barq.250g ;3.60; =;  ;  
2326; TOMATE ronde Espagne cat.I 57-67mm colis 6kg ;1.20; =;  ;  
2327; TOMATE ronde Espagne cat.I 67-82mm colis 6kg ;1.30; =;  ;  
2328; TOMATE ronde Espagne grappe cat.I colis 6kg ;1.60; =;  ;  
2329; TOMATE ronde Maroc cat.I 57-67mm colis 6kg ;0.85; +0.05; 0.80; 0.90
2330; TOMATE ronde Maroc cat.I 67-82mm colis 6kg ;0.90; +0.05; 0.85; 1.00
2331; TOMATE cerise U.E. biologique ;2.66; =; 2.00; 4.84
2332; TOMATE cerise U.E. grappe biologique ;3.71; +0.08; 3.00; 5.69
2333; TOMATE ronde U.E. biologique ;1.82; -0.21; 1.50; 2.60
2334; TOMATE ronde U.E. grappe biologique ;2.70; +0.36; 1.88; 3.60
2335; TOMATE allongée coeur France cat.I 82-102mm ;4.00; =; 3.50; 4.50
2336; TOMATE cerise ronde rouge Espagne barq.250g ;4.80; -0.20; 4.40; 5.20
2337; TOMATE cerise ronde rouge France barq.250g ;7.60; =; 4.80; 10.40
2338; TOMATE ronde Espagne cat.I 67-82mm ;1.60; =; 1.50; 1.70
2339; TOMATE ronde Espagne grappe cat.I ;1.70; +0.05; 1.50; 1.90
2340; TOMATE ronde France grappe extra colis 10kg ;2.30; =; 2.00; 2.80
2341; TOMATE ronde Maroc cat.I 67-82mm ;1.20; =; 1.10; 1.30
2342; TOMATE allongée coeur France cat.I plateau 1rg ;4.05; +0.10; 3.50; 4.60
2343; TOMATE cerise Espagne cat.I barq.250g ;5.15; +1.05; 4.40; 5.68
2344; TOMATE cerise France cat.I barq.250g (les 250g) ;6.80; +0.40;  ;  
2345; TOMATE cerise France grappe cat.I ;7.67; +0.17;  ;  
2346; TOMATE côtelée aumônière France cat.I 82-102mm ;3.90; -0.10;  ;  
2347; TOMATE côtelée jaune France extra 82-102mm ;4.50; +0.20; 4.20; 4.80
2348; TOMATE côtelée noire France extra 82-102mm ;4.30; +0.30; 3.80; 5.30
2349; TOMATE côtelée rouge France extra 82-102mm ;4.05; +0.10; 3.60; 4.60
2350; TOMATE ronde Espagne cat.I 67-82mm ;1.30; -0.08; 1.25; 1.30
2351; TOMATE ronde Espagne grappe cat.I ;2.00; +0.25;  ;  
2352; TOMATE ronde France cat.I 67-82mm ;2.40; =;  ;  
2353; TOMATE ronde France grappe cat.I ;2.65; =; 2.40; 2.98
2354; TOMATE ronde Maroc cat.I 67-82mm ;1.35; =; 1.15; 1.55
2355; TOMATE ronde zébrée France extra 57-67mm ;4.20; +0.35; 3.70; 4.50
2356; TOMATE allongée coeur France cat.I ;4.20; =; 3.60; 4.50
2357; TOMATE cerise France grappe cat.I 30-35mm colis 3kg ;8.50; =; 8.00; 9.00
2358; TOMATE côtelée jaune France cat.I ;4.30; +0.15; 3.80; 4.80
2359; TOMATE côtelée noire France cat.I ;4.30; +0.10; 4.00; 4.80
2360; TOMATE mélange variétés colorées France cat.I colis 3,5kg ;4.80; -0.45; 4.50; 5.50
2361; TOMATE ronde France cat.I 67-82mm ;2.10; +0.10; 1.80; 2.40
2362; TOMATE ronde France grappe cat.I ;2.60; =; 2.20; 3.50
2363; TOMATE ronde U.E. cat.I 67-82mm ;1.75; +0.05;  ;  
2364; TOMATE côtelée aumônière France ;4.20; -0.20; 3.80; 4.40
2365; TOMATE côtelée noire France cat.I ;4.20; -0.20; 3.80; 4.30
2366; TOMATE ronde Espagne cat.I 67-82mm ;1.20; -0.10; 1.20; 1.30
2367; TOMATE ronde Espagne grappe cat.I ;1.60; -0.10;  ;  
2368; TOMATE ronde France grappe extra ;2.70; -0.20; 2.50; 2.90
2369; TOMATE ronde Maroc cat.I 67-82mm ;1.20; +0.10; 1.00; 1.35
2370; TOMATE allongée Espagne cat.I ;1.45; +0.05;  ;  
2371; TOMATE allongée Tunisie cat.I ;1.20; +0.10;  ;  
2372; TOMATE anciennes France cat.I plateau 1rg ;4.10; +0.35; 3.80; 4.50
2373; TOMATE ronde Espagne grappe cat.I ;1.65; +0.05; 1.50; 1.80
2374; TOMATE ronde France grappe cat.I ;2.60; +0.25; 2.50; 2.70
2375; TOMATE ronde Maroc cat.I 67-82mm ;1.15; -0.05; 1.00; 1.30
2376; TOMATE allongée coeur France cat.I ;4.50; +0.20; 4.20; 4.70
2377; TOMATE cerise Espagne cat.I barq.250g (les 100X250g) ;120.00; =; 110.00; 130.00
2378; TOMATE ronde Espagne cat.I 57-67mm ;1.55; =; 1.40; 1.60
2379; TOMATE ronde Espagne grappe cat.I ;1.70; =; 1.60; 1.80
2380; TOMATE ronde France extra 57-67mm ;2.20;  ; 2.20; 2.30
2381; TOMATE ronde France grappe extra ;2.35; =; 2.00; 2.50
2382; TOMATE ronde Maroc cat.I 57-67mm ;1.25; =; 1.20; 1.30
2383; TOMATE cerise U.E. grappe biologique ;3.92; +0.40; 3.26; 4.70
2384; TOMATE ronde U.E. grappe biologique ;2.77; +0.20; 2.15; 3.41
2385; TOMATE anciennes Ananas jaune France cat.I ;4.60; +0.10; 4.50; 4.80
2386; TOMATE anciennes aumônière rouge France cat.I ;4.65; -0.25;  ;  
2387; TOMATE anciennes coeur de boeuf rouge France cat.I ;4.45; -0.10; 4.20; 4.50
2388; TOMATE anciennes Noire de Crimée noire France cat.I ;4.70; +0.20; 4.50; 4.90
2389; TOMATE ronde rouge France grappe cat.I ;2.90; =; 2.80; 3.50
2390; TOMATE ronde rouge Maroc cat.I 67-82mm colis 10kg ;1.40; +0.10; 1.30; 1.50
2391; TOMATE ronde rouge U.E. grappe cat.I ;1.90; +0.15; 1.75; 2.20
2392; TOMATE ronde U.E. cat.I 57-67 ou 67-82mm colis 10kg ;1.80; =;  ;  
2393; TOMATE cerise France extra barq.250g ;7.00; +0.20; 6.80; 7.50
2394; TOMATE cerise Maroc cat.I barq.250g ;4.40; +0.20; 4.20; 4.80
2395; TOMATE côtelée aumônière France cat.I 82-102mm plateau 1rg ;4.00; =; 3.60; 4.30
2396; TOMATE côtelée noire France cat.I ;4.00; =; 3.60; 4.30
2397; TOMATE ronde Espagne grappe cat.I ;2.00;  ; 1.80; 2.20
2398; TOMATE ronde France grappe extra ;2.30; +0.30; 2.20; 2.60
2399; TOMATE ronde Maroc cat.I 57-67mm ;1.25; +0.10; 1.20; 1.30
2400; TOMATE cerise U.E. biologique ;2.00; =;  ;  
2401; TOMATE cerise U.E. grappe biologique ;3.42; -0.08; 3.00; 3.84
2402; TOMATE ronde U.E. biologique ;1.50; -0.25;  ;  
2403; TOMATE ronde U.E. grappe biologique ;2.60; +0.55; 1.88; 2.95
2404; TOMATE cerise U.E. grappe cat.I ;4.59; =; 3.80; 5.50
2405; TOMATE côtelée France cat.I 67-82mm ;5.58; =;  ;  
2406; TOMATE ronde France grappe cat.I 47-57mm ;3.35; =; 2.30; 4.30
2407; TOMATE ronde Maroc cat.I 57-67mm ;1.45; =; 1.00; 1.90
2408; TOMATE ronde Pays-Bas cat.I 82-102mm ;3.38; =; 1.90; 5.35
2409; TOMATE ronde U.E. grappe cat.I ;1.93; =; 1.25; 2.65
2410; TOMATE côtelée jaune France cat.I plateau 1rg ;4.00; =; 3.70; 4.50
2411; TOMATE côtelée noire France cat.I plateau 1rg ;4.00; =; 3.70; 4.50
2412; TOMATE côtelée rouge France cat.I plateau 1rg ;3.70; =; 3.30; 4.50
2413; TOMATE ronde France cat.I 67-82mm ;2.50; =; 2.50; 2.50
2414; TOMATE ronde France grappe extra ;2.50; =; 2.20; 3.00
2415; TOMATE ronde Maroc cat.I 67-82mm ;1.10; =; 1.10; 1.40
2416; TOMATE cerise Espagne cat.I barq.250g (les 250g) ;0.90; +0.15; 0.80; 1.00
2417; TOMATE cerise Italie grappe cat.I ;2.90; =; 2.80; 3.00
2418; TOMATE ronde Belgique cat.I 57-67mm colis 6kg (les 6kg) ;13.00; =; 12.00; 14.00
2419; TOMATE ronde Belgique cat.I 67-82mm colis 6kg ;15.50; =; 14.00; 17.00
2420; TOMATE ronde Belgique cat.I 67-82mm colis 7kg ;18.00; =; 17.00; 19.00
2421; TOMATE ronde Belgique grappe cat.I colis 5kg (les 5kg) ;13.50; +0.50; 12.50; 14.50
2422; TOMATE ronde Espagne cat.I 57-67mm colis 6kg (les 6kg) ;9.00; =; 8.00; 10.00
2423; TOMATE ronde Espagne grappe cat.I colis 5kg (les 5kg) ;9.00; =; 8.00; 10.00
2424; TOMATE ronde Maroc cat.I 47-57mm colis 6kg (les 6kg) ;8.50; =; 8.00; 9.00
2425; TOMATE ronde Maroc cat.I 57-67mm colis 6kg (les 6kg) ;8.50; =; 8.00; 9.00
2426; TOMATE ronde Pays-Bas grappe cat.I 47-57mm colis 5kg (les 5kg) ;13.00; +1.00; 12.00; 14.00
2427; TOMATE ronde Turquie cat.I 67-82mm colis 6kg (les 6kg) ;9.00; =; 8.00; 10.00
2428; TOMATE ronde Turquie grappe cat.I 47-57mm colis 5kg (les 5kg) ;8.50; -0.50; 8.00; 9.00
2429; TOMATE cerise Italie cat.I ;2.00; =;  ;  
2430; TOMATE Italie grappe cat.I 67-82mm plateau 1rg ;1.40; =;  ;  
2431; TOMATE cerise Italie grappe cat.I ;2.75; +0.25; 2.50; 3.00
2432; TOMATE ronde Belgique cat.I 67-82mm colis 6kg (les 6kg) ;13.00; -3.00; 12.00; 14.00
2433; TOMATE ronde Belgique cat.I 67-82mm colis 7kg ;19.00; -0.50; 18.00; 20.00
2434; TOMATE ronde Belgique grappe cat.I colis 5kg (les 5kg) ;10.75; +0.25; 10.00; 11.50
2435; TOMATE ronde Espagne cat.I 57-67mm colis 6kg (les 6kg) ;8.00; -1.00; 7.00; 9.00
2436; TOMATE ronde Espagne cat.I 67-82mm colis 7kg ;13.00; -0.50; 12.00; 14.00
2437; TOMATE ronde Espagne grappe cat.I colis 5kg (les 5kg) ;8.75; +0.50; 8.00; 9.50
2438; TOMATE ronde Italie grappe cat.I 47-57mm colis 5kg (les 5kg) ;8.25; =; 7.50; 9.00
2439; TOMATE ronde Maroc cat.I 47-57mm colis 6kg (les 6kg) ;7.50; -0.75; 7.00; 8.00
2440; TOMATE ronde Maroc cat.I 57-67mm colis 6kg (les 6kg) ;7.50; -0.75; 7.00; 8.00
2441; TOMATE ronde Maroc cat.I 67-82mm colis 7kg ;13.00; =; 12.00; 14.00
2442; TOMATE ronde Pays-Bas grappe cat.I 47-57mm colis 5kg (les 5kg) ;11.50; =; 10.00; 13.00
2443; TOMATE ronde Turquie cat.I 67-82mm colis 6kg (les 6kg) ;7.50; -0.50; 7.00; 8.00
2444; TOMATE ronde Turquie grappe cat.I 47-57mm colis 5kg (les 5kg) ;8.00; =; 7.50; 8.50
2445; TOMATE ronde U.E. grappe biologique ;4.35; -0.04; 3.35; 5.99
2446; TOMATE cerise hors Fr. biologique ;7.12; +0.09; 5.96; 9.16
2447; TOMATE cerise ronde rouge France barq.250g ;11.64; -0.56; 7.16; 15.60
2448; TOMATE cerise ronde rouge hors Fr. barq.250g ;4.47; +0.01; 3.96; 6.76
2449; TOMATE cocktail France barq.500g ;6.60; +0.34; 4.98; 7.98
2450; TOMATE cocktail hors Fr. barq.500g ;4.62; -0.56; 2.18; 5.18
2451; TOMATE côtelée rouge France vrac ;5.56; -0.14; 4.99; 5.99
2452; TOMATE ronde ou ronde grappe hors Fr. biologique ;4.33; -0.03; 3.38; 4.99
2453; TOMATE ronde rouge Espagne 57-67 ou 67-82mm vrac ;2.72; +0.14; 2.35; 2.99
2454; TOMATE ronde rouge Espagne filet 1kg ;1.92; -0.06; 1.84; 1.99
2455; TOMATE ronde rouge Espagne grappe vrac ;2.63; -0.07; 1.99; 3.10
2456; TOMATE ronde rouge France grappe vrac ;3.47; -0.23; 2.95; 3.99
2457; TOMATE ronde rouge Maroc 57-67 ou 67-82mm vrac ;2.19; +0.22; 1.49; 2.99
2458; TOMATE ronde rouge Maroc 77-82 ou 82-102mm vrac ;3.33; -0.10; 2.50; 4.49
2459; TOMATE ronde rouge Maroc filet 1kg ;1.95; -0.01; 1.39; 2.19
2460; POMME DE TERRE Agata Rhône-Alpes cat.I sac 10kg ;0.35; =;  ;  
2461; POMME DE TERRE Celtiane Roussillon ;1.00; =; 1.00; 1.10
2462; POMME DE TERRE Monalisa Roussillon ;1.10; =;  ;  
2463; POMME DE TERRE Sud-Est lavée ;0.60; =; 0.50; 0.70
2464; POMME DE TERRE CHAIR FERME Charlotte de conservation Alsace lavée cat.I 35-55mm filet 2,5kg consommation ;0.51; -0.02; 0.47; 0.68
2465; POMME DE TERRE CHAIR FERME div.var.cons Alsace lavée cat.I 35-55mm filet 2,5kg consommation ;0.56; +0.03; 0.46; 0.68
2466; POMME DE TERRE CHAIR FERME épiderme rouge div.var.cons Alsace lavée cat.I 35-55mm filet 2,5kg consommation ;0.60; -0.03; 0.48; 0.70
2467; POMME DE TERRE CHAIR NORMALE div.var.cons Alsace lavée cat.I 35-55mm filet 10kg consommation ;0.32; =; 0.28; 0.50
2468; POMME DE TERRE CHAIR NORMALE div.var.cons Alsace lavée cat.I 35-55mm filet 2,5kg consommation ;0.46; -0.02;  ;  
2469; POMME DE TERRE CHAIR NORMALE div.var.cons Alsace lavée cat.I 35-55mm filet 5kg consommation ;0.33; +0.02; 0.20; 0.40
2470; POMME DE TERRE de conservation France biologique ;1.06; -0.02; 0.80; 1.40
2471; POMME DE TERRE primeur France biologique ;4.92;  ; 4.34; 5.60
2472; POMME DE TERRE Bintje France non lavée cat.II 40-75mm filet 10kg consommation ;140.00; =; 120.00; 140.00
2473; POMME DE TERRE Bintje France non lavée cat.II 40-75mm filet 25kg consommation ;130.00; =; 110.00; 130.00
2474; POMME DE TERRE Bintje France non lavée cat.II 50-75mm filet 10kg consommation ;150.00; =; 130.00; 150.00
2475; POMME DE TERRE Bintje France non lavée cat.II 50-75mm filet 25kg consommation ;140.00; =; 120.00; 140.00
2476; POMME DE TERRE CHAIR FERME Charlotte France lavée cat.I +35mm carton 12,5kg ;590.00; =;  ;  
2477; POMME DE TERRE CHAIR FERME Charlotte France lavée cat.I +35mm filet 2,5kg ;580.00; =; 560.00; 600.00
2478; POMME DE TERRE CHAIR FERME div.var.cons France lavée cat.I +35mm carton 12,5kg ;580.00; =; 520.00; 650.00
2479; POMME DE TERRE CHAIR FERME div.var.cons France lavée cat.I +35mm filet 2,5kg ;560.00; =; 520.00; 620.00
2480; POMME DE TERRE CHAIR FERME épiderme rouge France lavée cat.I +35mm carton 12,5kg ;620.00; =; 550.00; 700.00
2481; POMME DE TERRE CHAIR FERME épiderme rouge France lavée cat.I +35mm filet 2,5kg ;600.00; =; 520.00; 630.00
