;Produit;Prix moyen;Variation;Prix min;Prix max
157; KIWI vert France biologique cdt 6 (le cdt 6) ;3.35; +0.09; 2.69; 3.99
158; KIWI vert France cdt 1kg ;3.13; +0.05; 2.49; 3.99
159; KIWI vert France vrac (la pièce) ;0.51; +0.05; 0.39; 0.69
160; KIWI vert UE (hors Fr.) cdt 1kg ;3.08; =; 2.20; 3.49
161; FIGUE SÈCHE sèche Turquie ;8.40; =; 7.70; 9.20
162; ABRICOT SEC sec Turquie 60-80/kg ;5.80; =; 4.50; 6.80
163; COING Turquie ;2.00; =; 1.90; 2.20
164; MÛRE Import sous-abri barq.125g ;19.20;  ;  ;  
165; PERSIL frisé Rhône-Alpes plateau ;2.00; =;  ;  
166; PERSIL frisé Roussillon botte (la botte) ;0.50; =; 0.40; 0.50
167; PERSIL simple Roussillon botte (la botte) ;0.50; =; 0.40; 0.50
168; PERSIL frisé Méditerranée biologique (la botte) ;0.86; -0.10;  ;  
169; PERSIL simple Méditerranée biologique (la botte) ;0.97; =; 0.75; 0.98
170; PERSIL France biologique (la botte) ;0.96; -0.01; 0.75; 0.98
171; PERSIL France biologique (la botte) ;1.10; -0.03; 0.90; 1.25
172; PERSIL frisé Italie ;1.90; =; 1.80; 2.10
173; PERSIL simple Italie ;1.90; =; 1.80; 2.00
174; PERSIL frisé France botte (la botte) ;0.70; =; 0.64; 0.75
175; PERSIL simple U.E. (la botte) ;0.60; -0.05; 0.60; 0.65
176; PERSIL frisé France (la botte) ;0.60; -0.10; 0.60; 0.70
177; PERSIL simple France ;1.90; =; 1.80; 2.00
178; PERSIL France (la botte) ;0.75; =; 0.75; 0.77
179; PERSIL frisé France ;2.50; =; 2.40; 2.60
180; PERSIL France biologique (la botte) ;1.05; =; 0.90; 1.14
181; PERSIL frisé France ;2.00; =; 1.90; 2.20
182; PERSIL frisé Italie ;2.00; =; 1.90; 2.20
183; PERSIL frisé France botte (les 10 bottes) ;4.00; =; 3.50; 4.50
184; PERSIL frisé Import botte (les 10 bottes) ;3.50; =; 3.30; 3.80
185; PERSIL simple France botte ;4.00; =; 3.60; 4.50
186; PERSIL France biologique (la botte) ;1.14; +0.03; 1.09; 1.20
187; PERSIL frisé U.E. ;2.64; =; 2.40; 3.00
188; PERSIL France biologique (la botte) ;0.99; =;  ;  
189; PERSIL frisé Italie botte ;1.50; =;  ;  
190; RAISIN D-benanah RSA cat.I ;1.80; =; 1.70; 1.80
191; RAISIN Red Globe Pérou cat.I ;1.80; =; 1.80; 2.00
192; RAISIN Red Globe Import cat.I ;2.70; -0.05; 2.50; 2.80
193; RAISIN Moscatel Chili cat.I plateau ;8.50; =; 7.50; 10.00
194; RAISIN Red Globe Import cat.I plateau ;3.05; =; 2.50; 3.80
195; RAISIN Red Globe Pérou cat.I plateau ;1.80; =; 1.60; 2.20
196; RAISIN Thom Sedles Afrique du sud cat.I plateau ;2.50; +0.30; 2.00; 2.80
