;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
1985;MIN de Rungis : fruits et légumes 1; LAITUE Batavia blonde France cat.I +400g colis de 12 (les 12 pièces) ; 6.83; 6.06; 6.19; 6.40; 6.03; 6.97; 6.41; 8.00; 6.31; 7.38; 7.58; 7.28
1986;MIN de Rungis : fruits et légumes 1; LAITUE Feuille de chêne blonde France cat.I +400g colis de 12 (les 12 pièces) ; 6.83; 6.06; 6.50; 6.45; 6.03; 6.97; 6.41; 8.00; 6.31; 7.38; 7.55; 7.28
1987;MIN de Rungis : fruits et légumes 1; LAITUE Feuille de chêne rouge France cat.I +400g colis de 12 (les 12 pièces) ; 7.83; 6.06; 6.50; 6.45; 6.03; 6.93; 6.41; 8.00; 6.31; 7.38; 7.55; 7.28
1988;MIN de Rungis : fruits et légumes 1; LAITUE Iceberg Espagne cat.I colis de 10 (les 10 pièces) ; 5.56; 6.66; 5.95; 5.00;  ; 7.08; 7.12; 6.58; 5.30; 10.70; 5.76; 8.09
1989;MIN de Rungis : fruits et légumes 1; LAITUE Iceberg France cat.I colis de 10 (les 10 pièces) ;  ;  ; 6.00;  ;  ;  ;  ;  ;  ;  ;  ;  
1990;MIN de Rungis : fruits et légumes 1; LAITUE Iceberg Pays-Bas cat.I colis de 10 (les 10 pièces) ;  ;  ;  ; 5.00; 6.24; 6.78;  ;  ;  ;  ;  ;  
1991;MIN de Rungis : fruits et légumes 1; LAITUE pommée France cat.I +400g colis de 12 (les 12 pièces) ; 8.33; 7.19; 6.19; 6.00; 6.05; 6.97; 6.41; 8.55; 6.73; 7.79; 7.80; 7.57
1992;MIN de Rungis : fruits et légumes bio; LAITUE Batavia France biologique (la pièce) ; 1.09; 1.06; 0.92; 0.84; 0.83; 0.89; 0.94; 0.96; 0.82; 0.86; 0.88; 0.84
1993;MIN de Rungis : fruits et légumes bio; LAITUE Feuille de chêne France biologique (la pièce) ; 1.09; 1.06; 0.92; 0.85; 0.83; 0.88; 0.95; 0.96; 0.82; 0.85; 0.88; 0.83
1994;MIN de Rungis : fruits et légumes bio; LAITUE pommé France biologique (la pièce) ; 1.09; 1.06; 0.92; 0.84; 0.83; 0.90; 0.95; 0.96; 0.80; 0.85; 0.88; 0.83
1995;MIN de Strasbourg : fruits et légumes; LAITUE Batavia blonde France cat.I colis de 12 (la pièce) ;  ; 0.83; 0.80; 0.75; 0.71; 0.84; 0.88; 0.95; 0.82; 0.84; 0.85; 0.83
