;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
5154;MIN de Châteaurenard carreau : fruits et légumes; CERISE rouge Sud-Est +28mm plateau (le kg) ;  ; 8.01; 5.32;  ;  ;  ;  ;  ;  ;  ;  ;  
5155;MIN de Châteaurenard carreau : fruits et légumes; CERISE rouge Sud-Est +30mm plateau (le kg) ;  ; 8.17; 7.02;  ;  ;  ;  ;  ;  ;  ;  ;  
5156;MIN de Châteaurenard carreau : fruits et légumes; CERISE Summit Sud-Est +24mm plateau (le kg) ;  ; 4.67; 4.00;  ;  ;  ;  ;  ;  ;  ;  ;  
5157;MIN de Châteaurenard carreau : fruits et légumes; CERISE Summit Sud-Est +26mm plateau (le kg) ;  ; 5.66; 4.24;  ;  ;  ;  ;  ;  ;  ;  ;  
5158;MIN de Châteaurenard carreau : fruits et légumes; CERISE Summit Sud-Est +28mm plateau (le kg) ;  ; 6.40; 4.80;  ;  ;  ;  ;  ;  ;  ;  ;  
5159;MIN de Châteaurenard carreau : fruits et légumes; CERISE Summit Sud-Est +30mm plateau (le kg) ;  ;  ; 5.80;  ;  ;  ;  ;  ;  ;  ;  ;  
5160;Bassin Auvergne Rhône-Alpes : fruits d'été; CERISE Burlat Rhône-Alpes cat.I +24mm plateau (le kg) ;  ; 4.15;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5161;Bassin Auvergne Rhône-Alpes : fruits d'été; CERISE Burlat Rhône-Alpes cat.I +26mm plateau (le kg) ;  ; 5.20;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5162;Bassin Auvergne Rhône-Alpes : fruits d'été; CERISE rouge Rhône-Alpes cat.I +24mm plateau (le kg) ;  ; 4.35; 2.98; 3.28;  ;  ;  ;  ;  ;  ;  ;  
5163;Bassin Auvergne Rhône-Alpes : fruits d'été; CERISE rouge Rhône-Alpes cat.I +26mm plateau (le kg) ;  ; 5.40; 3.73; 4.03;  ;  ;  ;  ;  ;  ;  ;  
5164;Bassin Auvergne Rhône-Alpes : fruits d'été; CERISE rouge Rhône-Alpes cat.I +28mm plateau (le kg) ;  ;  ; 4.57; 4.76;  ;  ;  ;  ;  ;  ;  ;  
5165;Bassin Grand Est : fruits et légumes; CERISE Burlat Alsace cat.I +24mm plateau (le kg) ;  ;  ; 3.83;  ;  ;  ;  ;  ;  ;  ;  ;  
5166;Bassin Grand Est : fruits et légumes; CERISE Burlat Alsace cat.I +26mm plateau (le kg) ;  ;  ; 3.98;  ;  ;  ;  ;  ;  ;  ;  ;  
5167;Bassin Grand Est : fruits et légumes; CERISE rouge Alsace cat.I +26mm plateau (le kg) ;  ;  ; 3.63; 3.64;  ;  ;  ;  ;  ;  ;  ;  
5168;Bassin Grand Est : fruits et légumes; CERISE rouge Alsace cat.I +28mm plateau (le kg) ;  ;  ; 4.29; 4.39;  ;  ;  ;  ;  ;  ;  ;  
5169;Bassin Roussillon : fruits et légumes; CERISE Burlat Roussillon cat.I +24mm plateau (le kg) ;  ; 7.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5170;Bassin Roussillon : fruits et légumes; CERISE Burlat Roussillon cat.I +26mm plateau (le kg) ;  ; 7.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5171;Bassin Roussillon : fruits et légumes; CERISE rouge Roussillon cat.I +26mm plateau (le kg) ;  ; 7.20;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5172;Bassins Sud-Est et Roussillon : fruits et légumes bio; CERISE Burlat Méditerranée biologique (le kg) ;  ; 7.89; 6.10;  ;  ;  ;  ;  ;  ;  ;  ;  
5173;Bassins Sud-Est et Roussillon : fruits et légumes bio; CERISE rouge Méditerranée biologique (le kg) ;  ; 8.73; 7.73;  ;  ;  ;  ;  ;  ;  ;  ;  
5174;Bassin Sud-Est : fruits et légumes 2; CERISE Burlat Sud-Est cat.I +22mm barq. (le kg) ;  ; 5.83;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5175;Bassin Sud-Est : fruits et légumes 2; CERISE Burlat Sud-Est cat.I +24mm barq. (le kg) ;  ; 6.02;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5176;Bassin Sud-Est : fruits et légumes 2; CERISE Burlat Sud-Est cat.I +24mm plateau (le kg) ;  ; 5.56;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5177;Bassin Sud-Est : fruits et légumes 2; CERISE Burlat Sud-Est cat.I +26mm plateau (le kg) ;  ; 6.60;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5178;Bassin Sud-Est : fruits et légumes 2; CERISE Burlat Sud-Est cat.I +28mm plateau (le kg) ;  ; 7.80;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5179;Bassin Sud-Est : fruits et légumes 2; CERISE rouge Sud-Est cat.I +22mm barq. (le kg) ;  ; 3.00; 5.20;  ;  ;  ;  ;  ;  ;  ;  ;  
5180;Bassin Sud-Est : fruits et légumes 2; CERISE rouge Sud-Est cat.I +24mm barq. (le kg) ;  ; 6.88; 5.32;  ;  ;  ;  ;  ;  ;  ;  ;  
5181;Bassin Sud-Est : fruits et légumes 2; CERISE rouge Sud-Est cat.I +24mm plateau (le kg) ;  ; 4.74; 3.17;  ;  ;  ;  ;  ;  ;  ;  ;  
5182;Bassin Sud-Est : fruits et légumes 2; CERISE rouge Sud-Est cat.I +26mm plateau (le kg) ;  ; 6.20; 4.12;  ;  ;  ;  ;  ;  ;  ;  ;  
5183;Bassin Sud-Est : fruits et légumes 2; CERISE rouge Sud-Est cat.I +28mm plateau (le kg) ;  ; 7.57; 5.46;  ;  ;  ;  ;  ;  ;  ;  ;  
5184;Bassin Sud-Est : fruits et légumes 2; CERISE rouge Sud-Est cat.I +30mm plateau (le kg) ;  ; 8.56; 6.32;  ;  ;  ;  ;  ;  ;  ;  ;  
5185;Bassin Sud-Ouest : fruits d'été; CERISE Burlat Sud-Ouest cat.I +24mm plateau (le kg) ;  ; 5.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5186;Bassin Sud-Ouest : fruits d'été; CERISE Burlat Sud-Ouest cat.I +26mm plateau (le kg) ;  ; 5.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5187;Bassin Sud-Ouest : fruits d'été; CERISE rouge Sud-Ouest cat.I +22mm barq.500g (le kg) ;  ; 5.00; 3.99;  ;  ;  ;  ;  ;  ;  ;  ;  
5188;Bassin Sud-Ouest : fruits d'été; CERISE rouge Sud-Ouest cat.I +24mm plateau (le kg) ;  ; 4.31; 2.92;  ;  ;  ;  ;  ;  ;  ;  ;  
5189;Bassin Sud-Ouest : fruits d'été; CERISE rouge Sud-Ouest cat.I +26mm plateau (le kg) ;  ; 5.41; 3.86;  ;  ;  ;  ;  ;  ;  ;  ;  
5190;Bassin Sud-Ouest : fruits d'été; CERISE rouge Sud-Ouest cat.I +28mm plateau (le kg) ;  ; 6.38; 4.71;  ;  ;  ;  ;  ;  ;  ;  ;  
5191;France : fruits et légumes bio - expédition; CERISE rouge France biologique (le kg) ;  ; 8.59; 7.17; 6.80;  ;  ;  ;  ;  ;  ;  ;  
5192;France : fruits et légumes bio - import; CERISE Espagne biologique (le kg) ;  ;  ; 7.90;  ;  ;  ;  ;  ;  ;  ;  ;  
5193;Marché de St-Charles : fruits et légumes - import; CERISE rouge Espagne cat.I +24mm plateau (le kg) ;  ; 4.30;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5194;Marché de St-Charles : fruits et légumes - import; CERISE rouge Espagne cat.I +26mm plateau (le kg) ;  ; 5.04; 3.65;  ;  ;  ;  ;  ;  ;  ;  ;  
5195;Marché de St-Charles : fruits et légumes - import; CERISE rouge Espagne cat.I +28mm plateau (le kg) ;  ; 5.64; 4.38;  ;  ;  ;  ;  ;  ;  ;  ;  
5196;France : fruits et légumes bio - grossistes; CERISE rouge France biologique (le kg) ;  ; 10.16; 8.16; 6.96;  ;  ;  ;  ;  ;  ;  ;  
5197;France : fruits et légumes bio - grossistes; CERISE rouge U.E. biologique (le kg) ;  ; 8.96;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5198;Marché de Bologne : fruits et légumes; CERISE rouge Italie cat.I +26mm (le kg) ;  ; 8.00; 5.00; 4.00;  ;  ;  ;  ;  ;  ;  ;  
5199;Marché de Lyon-Corbas : fruits et légumes; CERISE rouge Espagne cat.I +24mm plateau (le kg) ;  ; 4.47; 2.28;  ;  ;  ;  ;  ;  ;  ;  ;  
5200;Marché de Lyon-Corbas : fruits et légumes; CERISE rouge Espagne cat.I +26mm plateau (le kg) ;  ; 5.49; 2.93;  ;  ;  ;  ;  ;  ;  ;  ;  
5201;Marché de Lyon-Corbas : fruits et légumes; CERISE rouge Espagne cat.I +28mm plateau (le kg) ;  ; 6.46; 3.42;  ;  ;  ;  ;  ;  ;  ;  ;  
5202;Marché de Lyon-Corbas : fruits et légumes; CERISE rouge France cat.I +22mm plateau (le kg) ;  ; 2.96; 2.22;  ;  ;  ;  ;  ;  ;  ;  ;  
5203;Marché de Lyon-Corbas : fruits et légumes; CERISE rouge France cat.I +24mm plateau (le kg) ;  ; 4.78; 2.53; 2.50;  ;  ;  ;  ;  ;  ;  ;  
5204;Marché de Lyon-Corbas : fruits et légumes; CERISE rouge France cat.I +26mm plateau (le kg) ;  ; 5.80; 3.38; 3.50;  ;  ;  ;  ;  ;  ;  ;  
5205;Marché de Lyon-Corbas : fruits et légumes; CERISE rouge France cat.I +28mm plateau (le kg) ;  ;  ; 3.53; 4.07;  ;  ;  ;  ;  ;  ;  ;  
5206;MIN d'Avignon-Cavaillon : fruits et légumes; CERISE Belge France cat.I +26mm plateau (le kg) ;  ;  ; 5.50; 8.00; 8.00;  ;  ;  ;  ;  ;  ;  
5207;MIN d'Avignon-Cavaillon : fruits et légumes; CERISE rouge France cat.I +26mm plateau (le kg) ;  ;  ; 5.25; 5.99;  ;  ;  ;  ;  ;  ;  ;  
5208;MIN de Bordeaux-Brienne : fruits et légumes; CERISE Belge France cat.I +26mm (le kg) ;  ;  ;  ; 6.40;  ;  ;  ;  ;  ;  ;  ;  
5209;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge Belgique cat.I +28mm plateau (le kg) ;  ;  ;  ; 6.43;  ;  ;  ;  ;  ;  ;  ;  
5210;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge Belgique cat.I +30mm (le kg) ;  ;  ;  ; 7.75;  ;  ;  ;  ;  ;  ;  ;  
5211;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge Espagne cat.I +30mm (le kg) ;  ;  ;  ; 5.70;  ;  ;  ;  ;  ;  ;  ;  
5212;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge France cat.I +26mm plateau (le kg) ;  ;  ;  ; 5.27;  ;  ;  ;  ;  ;  ;  ;  
5213;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge France cat.I +28mm plateau (le kg) ;  ;  ;  ; 5.77;  ;  ;  ;  ;  ;  ;  ;  
5214;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge U.E. cat.I +26mm (le kg) ;  ;  ;  ; 6.50;  ;  ;  ;  ;  ;  ;  ;  
5215;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge U.E. cat.I +28mm (le kg) ;  ;  ;  ; 6.50;  ;  ;  ;  ;  ;  ;  ;  
5216;MIN de Bordeaux-Brienne : fruits et légumes; CERISE rouge U.E. cat.I +30mm (le kg) ;  ;  ;  ; 7.60;  ;  ;  ;  ;  ;  ;  ;  
5217;MIN de Marseille : fruits et légumes; CERISE Belge Belgique cat.I +28mm plateau (le kg) ;  ;  ;  ; 7.00;  ;  ;  ;  ;  ;  ;  ;  
5218;MIN de Marseille : fruits et légumes; CERISE rouge France cat.I +26mm plateau (le kg) ;  ;  ; 4.75; 5.00;  ;  ;  ;  ;  ;  ;  ;  
5219;MIN de Marseille : fruits et légumes; CERISE rouge France cat.I +28mm plateau (le kg) ;  ;  ; 6.00; 6.93;  ;  ;  ;  ;  ;  ;  ;  
5220;MIN de Marseille : fruits et légumes; CERISE rouge France cat.I +30mm plateau (le kg) ;  ;  ; 7.03;  ;  ;  ;  ;  ;  ;  ;  ;  
5221;MIN de Nantes : fruits et légumes; CERISE Amérique du sud cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 18.34; 14.00;  ;  
5222;MIN de Nantes : fruits et légumes; CERISE rose France cat.I +24mm plateau (le kg) ;  ;  ; 4.26;  ;  ;  ;  ;  ;  ;  ;  ;  
5223;MIN de Nantes : fruits et légumes; CERISE rose France cat.I +26mm plateau (le kg) ;  ;  ; 5.50;  ;  ;  ;  ;  ;  ;  ;  ;  
5224;MIN de Nantes : fruits et légumes; CERISE rose France cat.I +28mm plateau (le kg) ;  ;  ; 6.50;  ;  ;  ;  ;  ;  ;  ;  ;  
5225;MIN de Nantes : fruits et légumes; CERISE rouge Belgique cat.I +24mm (le kg) ;  ;  ;  ; 4.29;  ;  ;  ;  ;  ;  ;  ;  
5226;MIN de Nantes : fruits et légumes; CERISE rouge Belgique cat.I +26mm (le kg) ;  ;  ;  ; 4.86;  ;  ;  ;  ;  ;  ;  ;  
5227;MIN de Nantes : fruits et légumes; CERISE rouge Belgique cat.I +28mm (le kg) ;  ;  ;  ; 5.65;  ;  ;  ;  ;  ;  ;  ;  
5228;MIN de Nantes : fruits et légumes; CERISE rouge Belgique cat.I +30mm (le kg) ;  ;  ;  ; 6.01;  ;  ;  ;  ;  ;  ;  ;  
5229;MIN de Nantes : fruits et légumes; CERISE rouge Espagne cat.I +22mm (le kg) ; 7.85; 7.32;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5230;MIN de Nantes : fruits et légumes; CERISE rouge Espagne cat.I +28mm (le kg) ;  ; 7.08;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5231;MIN de Nantes : fruits et légumes; CERISE rouge Espagne cat.I +30mm (le kg) ;  ; 6.75;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5232;MIN de Nantes : fruits et légumes; CERISE rouge France cat.I +24mm plateau (le kg) ;  ; 6.77; 3.95; 4.30;  ;  ;  ;  ;  ;  ;  ;  
5233;MIN de Nantes : fruits et légumes; CERISE rouge France cat.I +26mm plateau (le kg) ;  ; 7.51; 4.71; 5.21;  ;  ;  ;  ;  ;  ;  ;  
5234;MIN de Nantes : fruits et légumes; CERISE rouge France cat.I +28mm plateau (le kg) ;  ; 8.25; 5.88; 6.26;  ;  ;  ;  ;  ;  ;  ;  
5235;MIN de Nantes : fruits et légumes; CERISE rouge France cat.I +30mm plateau (le kg) ;  ; 10.00; 6.73; 6.70;  ;  ;  ;  ;  ;  ;  ;  
5236;MIN de Nantes : fruits et légumes bio; CERISE rouge France biologique (le kg) ;  ; 10.56; 8.65; 6.25;  ;  ;  ;  ;  ;  ;  ;  
5237;MIN de Nantes : fruits et légumes bio; CERISE rouge U.E. biologique (le kg) ;  ; 9.67;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5238;MIN de Nice : fruits et légumes; CERISE Burlat U.E. cat.I +26mm plateau (le kg) ;  ;  ;  ; 4.50;  ;  ;  ;  ;  ;  ;  ;  
5239;MIN de Nice : fruits et légumes; CERISE rouge France cat.I +24mm plateau (le kg) ;  ;  ; 4.93; 4.03;  ;  ;  ;  ;  ;  ;  ;  
5240;MIN de Nice : fruits et légumes; CERISE rouge France cat.I +26mm plateau (le kg) ;  ; 6.50;  ; 5.83; 8.50;  ;  ;  ;  ;  ;  ;  
5241;MIN de Nice : fruits et légumes; CERISE rouge France cat.I +28mm plateau (le kg) ;  ;  ; 5.50; 6.63; 9.50;  ;  ;  ;  ;  ;  ;  
5242;MIN de Nice : fruits et légumes; CERISE rouge France cat.I +30mm plateau (le kg) ;  ;  ; 5.75; 7.50;  ;  ;  ;  ;  ;  ;  ;  
5243;MIN de Nice : fruits et légumes; CERISE rouge U.E. cat.I +26mm plateau (le kg) ;  ; 6.39; 4.72; 5.83;  ;  ;  ;  ;  ;  ;  ;  
5244;MIN de Nice : fruits et légumes; CERISE rouge U.E. cat.I +28mm plateau (le kg) ;  ;  ;  ; 7.57; 6.50;  ;  ;  ;  ;  ;  ;  
5245;MIN de Nice : fruits et légumes; CERISE rouge U.E. cat.I +30mm plateau (le kg) ;  ; 8.39; 7.38; 7.02; 7.83;  ;  ;  ;  ;  ;  ;  
5246;MIN de Nice : fruits et légumes; CERISE rouge U.E. cat.I +32mm plateau (le kg) ;  ;  ;  ; 12.50; 13.00;  ;  ;  ;  ;  ;  ;  
5247;MIN de Rungis : fruits et légumes 1; CERISE rouge Belgique cat.I +28mm (le kg) ;  ;  ;  ; 6.21;  ;  ;  ;  ;  ;  ;  ;  
5248;MIN de Rungis : fruits et légumes 1; CERISE rouge Espagne cat.I +26mm plateau (le kg) ;  ; 4.96; 5.00;  ;  ;  ;  ;  ;  ;  ;  ;  
5249;MIN de Rungis : fruits et légumes 1; CERISE rouge Espagne cat.I +30mm plateau (le kg) ;  ; 7.39; 5.00;  ;  ;  ;  ;  ;  ;  ;  ;  
5250;MIN de Rungis : fruits et légumes 1; CERISE rouge France cat.I +24mm plateau (le kg) ;  ; 5.00; 2.52;  ;  ;  ;  ;  ;  ;  ;  ;  
5251;MIN de Rungis : fruits et légumes 1; CERISE rouge France cat.I +26mm plateau (le kg) ;  ; 6.41; 3.71; 3.83;  ;  ;  ;  ;  ;  ;  ;  
5252;MIN de Rungis : fruits et légumes 1; CERISE rouge France cat.I +30mm plateau (le kg) ;  ; 8.50; 6.45; 6.00;  ;  ;  ;  ;  ;  ;  ;  
5253;MIN de Rungis : fruits et légumes 1; CERISE rouge Turquie cat.I +26mm plateau (le kg) ;  ;  ;  ; 4.08;  ;  ;  ;  ;  ;  ;  ;  
5254;MIN de Rungis : fruits et légumes 2; CERISE Chili cat.I +24mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 11.00; 10.50;  ;  
5255;MIN de Rungis : fruits et légumes 2; CERISE Chili cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 16.40; 16.00;  ;  
5256;MIN de Rungis : fruits et légumes bio; CERISE rouge France biologique (le kg) ;  ; 9.78; 7.78; 7.06;  ;  ;  ;  ;  ;  ;  ;  
5257;MIN de Rungis : fruits et légumes bio; CERISE rouge U.E. biologique (le kg) ;  ; 8.98;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5258;MIN de Strasbourg : fruits et légumes; CERISE rouge France cat.I +24mm (le kg) ;  ;  ; 5.43; 5.72;  ;  ;  ;  ;  ;  ;  ;  
5259;MIN de Toulouse : fruits et légumes; CERISE rouge France cat.I +28mm plateau (le kg) ;  ; 9.00; 7.50;  ;  ;  ;  ;  ;  ;  ;  ;  
5260;France : fruits et légumes bio - grossistes; NOISETTE France biologique (le kg) ; 6.75;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5261;MIN d'Avignon-Cavaillon : fruits et légumes; NOISETTE France coque sac 5kg (le kg) ;  ;  ;  ;  ;  ;  ; 5.85; 5.83; 5.75; 5.75; 5.65; 5.66
5262;MIN de Marseille : fruits et légumes; NOISETTE sèche France coque +22mm sac 5kg (le kg) ;  ;  ; 6.00; 5.54; 5.50; 5.03; 5.18; 5.65; 5.61; 5.50; 5.70; 5.70
5263;MIN de Nantes : fruits et légumes; NOISETTE fraîche France (le kg) ;  ;  ;  ; 5.35; 5.32; 6.55; 6.60;  ;  ;  ;  ;  
5264;MIN de Nantes : fruits et légumes; NOISETTE sèche France +22mm (le kg) ;  ;  ;  ;  ;  ;  ; 4.47; 4.40; 4.45; 4.79; 4.96; 4.90
5265;MIN de Rungis : fruits et légumes 1; NOISETTE fraîche France (le kg) ;  ;  ;  ;  ; 5.50; 5.50;  ;  ;  ;  ;  ;  
5266;MIN de Rungis : fruits et légumes 1; NOISETTE sèche France +24mm (le kg) ; 5.50; 5.50; 5.50; 5.50; 5.50; 4.50; 4.50; 4.50; 4.09; 3.60; 3.60;  
5267;MIN de Rungis : fruits et légumes bio; NOISETTE France biologique (le kg) ; 6.78;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5268;France : fruits et légumes bio - import; PIMENT rouge Espagne biologique (le kg) ; 6.56; 6.35; 5.90; 4.45; 5.02; 5.04; 4.90; 4.35; 5.20; 4.15; 5.00; 5.35
5269;France : fruits et légumes bio - import; PIMENT vert Espagne biologique (le kg) ;  ;  ; 4.59; 3.96; 4.66; 4.67; 4.65;  ;  ; 4.50; 4.65; 5.90
5270;Marché de St-Charles : fruits et légumes - import; PIMENT Sahem vert Maroc cat.I (le kg) ; 1.12; 0.89; 1.08;  ;  ;  ; 0.79; 0.78; 0.74; 0.81; 0.69; 1.04
5271;Marché de St-Charles : fruits et légumes - import; PIMENT Starter vert Maroc cat.I (le kg) ; 1.15; 0.91; 1.25; 1.25;  ;  ; 0.86; 0.81; 0.78; 0.92; 0.76; 1.12
5272;Marché de Lyon-Corbas : fruits et légumes; PIMENT vert Maroc (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.08; 1.08; 1.28; 1.08; 1.42
5273;MIN de Rungis : fruits et légumes 1; PIMENT vert Maroc (le kg) ; 1.40; 1.40; 1.53; 1.70; 1.70; 1.70; 1.70; 1.56; 1.31; 1.36; 1.22; 1.33
5274;MIN de Rungis : fruits et légumes 2; PIMENT des oiseaux Madagascar (le kg) ;  ;  ; 15.67; 17.00; 17.00; 17.00; 17.00; 17.00; 16.80; 17.00; 17.00; 17.00
5275;MIN de Rungis : fruits et légumes 2; PIMENT Lanterne France (le kg) ;  ;  ;  ;  ;  ; 4.35; 4.87; 6.00;  ;  ;  ;  
5276;MIN de Rungis : fruits et légumes 2; PIMENT Lanterne Import avion (le kg) ;  ; 7.67; 7.50; 7.50;  ; 4.50; 4.50; 6.38; 6.88; 7.53; 6.50; 5.78
5277;MIN de Rungis : fruits et légumes 2; PIMENT Lanterne Martinique avion (le kg) ;  ; 12.00; 7.60; 8.00; 6.25;  ;  ;  ;  ;  ;  ;  
5278;MIN de Strasbourg : fruits et légumes; PIMENT Maroc (le kg) ;  ; 1.59; 1.57; 1.77; 1.67; 2.03; 2.05; 1.75; 1.68; 1.75; 1.48; 1.77
5279;Marché de Lyon-Corbas carreau : fruits et légumes; HARICOT VERT vert Rhône-Alpes fin plateau (le kg) ;  ;  ; 6.50; 6.50;  ;  ;  ;  ;  ;  ;  ;  
5280;Marché de Perpignan carreau : fruits et légumes; HARICOT VERT Beurre Roussillon (le kg) ;  ; 8.00; 7.22; 7.00;  ;  ;  ;  ;  ;  ;  ;  
5281;Marché de Perpignan carreau : fruits et légumes; HARICOT VERT Coco plat Roussillon (le kg) ;  ;  ; 6.00; 6.00; 6.00; 4.83; 4.50; 4.50;  ;  ;  ;  
5282;Marché de Perpignan carreau : fruits et légumes; HARICOT VERT vert Roussillon fin (le kg) ; 10.00; 8.71; 6.94; 5.88; 5.00; 5.00; 5.00; 5.00; 5.00;  ;  ;  
5283;Marché de Perpignan carreau : fruits et légumes; HARICOT VERT vert Roussillon moyen (le kg) ; 8.50; 7.93; 6.00; 4.88; 4.00; 4.00; 4.00; 4.00; 4.00;  ;  ;  
5284;Marché de producteurs de Vivy : fruits et légumes; HARICOT VERT Beurre Val de Loire cat.I plateau (le kg) ;  ;  ;  ; 3.29; 2.19; 2.46; 2.19;  ;  ;  ;  ;  
5285;Marché de producteurs de Vivy : fruits et légumes; HARICOT VERT Val de Loire ramassé main cat.I fin plateau rangé (le kg) ;  ;  ;  ; 4.97; 4.19; 3.77; 4.33; 5.00;  ;  ;  ;  
5286;MIN d'Agen carreau : fruits et légumes; HARICOT VERT Beurre Sud-Ouest cat.I plateau (le kg) ;  ;  ; 5.00; 4.30; 3.44; 3.33; 3.00;  ;  ;  ;  ;  
5287;MIN d'Agen carreau : fruits et légumes; HARICOT VERT vert Sud-Ouest cat.I fin plateau (le kg) ;  ;  ; 5.77; 4.87; 4.16; 3.79; 3.00;  ;  ;  ;  ;  
5288;MIN d'Agen carreau : fruits et légumes; HARICOT VERT vert Sud-Ouest ramassé machine cat.I plateau (le kg) ;  ;  ;  ; 1.60; 1.39; 1.40;  ;  ;  ;  ;  ;  
5289;MIN de Cavaillon carreau : fruits et légumes; HARICOT VERT Coco plat Sud-Est (le kg) ;  ;  ;  ; 3.12; 5.00; 5.12; 4.20; 4.00; 4.00;  ;  ;  
5290;MIN de Cavaillon carreau : fruits et légumes; HARICOT VERT Sud-Est extra fin (le kg) ;  ;  ;  ; 4.45; 6.00; 5.50; 4.60; 4.50;  ;  ;  ;  
5291;MIN de Cavaillon carreau : fruits et légumes; HARICOT VERT vert Sud-Est cat.I fin plateau (le kg) ;  ;  ;  ; 4.50; 5.50; 5.25; 4.00; 4.00; 4.00;  ;  ;  
5292;MIN de Châteaurenard carreau : fruits et légumes; HARICOT VERT Sud-Est fin plateau (le kg) ;  ;  ; 5.72; 4.65;  ;  ;  ;  ;  ;  ;  ;  
5293;MIN de Châteaurenard carreau : fruits et légumes; HARICOT VERT Sud-Est très fin plateau (le kg) ;  ;  ; 6.57;  ;  ;  ;  ;  ;  ;  ;  ;  
5294;MIN de Châteaurenard carreau : fruits et légumes; HARICOT VERT vert Sud-Est plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.58;  ;  ;  ;  
5295;Bassins Sud-Est et Roussillon : fruits et légumes bio; HARICOT VERT Beurre Méditerranée biologique (le kg) ;  ;  ; 8.55;  ;  ;  ;  ;  ;  ;  ;  ;  
5296;Bassins Sud-Est et Roussillon : fruits et légumes bio; HARICOT VERT vert Méditerranée biologique (le kg) ;  ; 8.88; 8.30; 8.14;  ;  ;  ;  ;  ;  ;  ;  
5297;France : fruits et légumes bio - expédition; HARICOT VERT France biologique (le kg) ;  ; 8.73; 7.87; 7.79; 6.66; 6.59; 6.27; 7.50;  ;  ;  ;  
5298;France : fruits et légumes bio - import; HARICOT VERT Coco plat Espagne biologique cat.I (le kg) ; 3.93; 2.92; 2.79; 3.02;  ; 4.45; 3.51; 2.52; 3.34; 5.20; 5.75; 4.62
5299;France : fruits et légumes bio - import; HARICOT VERT Espagne biologique cat.I (le kg) ; 5.77; 4.18; 3.84; 4.09;  ; 5.60; 4.97; 5.50; 4.85; 6.55; 6.97; 5.29
5300;Marché de St-Charles : fruits et légumes - import; HARICOT VERT Coco plat Maroc cat.I fin colis 4kg (le kg) ; 1.18; 1.14; 1.43;  ;  ;  ; 1.85; 1.31; 1.51; 1.36; 1.33; 1.33
5301;Marché de St-Charles : fruits et légumes - import; HARICOT VERT Coco plat Maroc cat.I très fin colis 4kg (le kg) ; 1.35; 1.27;  ;  ;  ;  ;  ; 1.45; 1.39; 1.47; 1.46; 1.65
5302;Marché de St-Charles : fruits et légumes - import; HARICOT VERT vert Maroc cat.I fin (le kg) ; 1.62; 1.40; 1.41; 0.87;  ;  ; 1.47; 1.22; 1.60; 1.35; 1.95; 1.51
5303;Marché de St-Charles : fruits et légumes - import; HARICOT VERT vert Maroc cat.I très fin (le kg) ; 1.88; 1.61; 1.52; 1.20;  ;  ; 1.75; 1.49; 1.77; 1.66; 2.57; 1.87
5304;France : fruits et légumes bio - grossistes; HARICOT VERT Coco plat U.E. biologique (le kg) ; 4.01; 3.54; 3.46; 3.54; 3.64;  ; 4.24; 3.27; 3.30; 5.62; 6.67;  
5305;France : fruits et légumes bio - grossistes; HARICOT VERT France biologique (le kg) ;  ; 10.49; 9.79; 8.86; 7.92; 8.02; 7.11; 8.71;  ;  ;  ;  
